sample_id,source_split,source_region,label,province_code,province_name,filename,text,speaker_id,gender,source_audio_path,source_parquet_file,audio_path,audio_status,audio_bytes
train:11_0001.wav,train,North,Northern,11,CaoBang,11_0001.wav,"Nghiên cứu học tập,các ứng dụng các khoa học công nghệ và những dụng tiên tiến để đưa vào trong áp dụng trong công việc của mình. Từ đó giúp chuyển đổi những cái khó khăn trong công việc, đưa ra những thuận lợi và những cái nhanh gọn hơn giải quyết các thủ tục hành chính cho được thuận tiện hơn.",spk_11_0001,male,11_0001.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0001.wav,downloaded,775852
train:11_0002.wav,train,North,Northern,11,CaoBang,11_0002.wav,Chuyển đổi số hiện nay đang được là đang được Đảng và Nhà nước ta rất chú trọng và quan tâm. Tỉnh ta đã có rất nhiều văn bản chỉ đạo cho tổ chức đoàn thể và tổ chức chính quyền thực hiện những cái công trình chuyển đổi số đưa vào trong cuộc sống. Đảng ủy sở khoa học công nghệ cũng như là lãnh đạo sở đã có những chỉ đạo cho chính quyền và tổ chức đoàn thể của mình.,spk_11_0001,male,11_0002.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0002.wav,downloaded,680972
train:11_0003.wav,train,North,Northern,11,CaoBang,11_0003.wav,"Trong quá trình mình làm việc để quản lý thông tin các vật tư thiết bị của công ty điện lực Cao Bằng, cá nhân tôi cảm thấy phần quản lý vật tư thiết bị còn chưa khoa học, rời rạc, không tập trung, mất nhiều thời gian tìm kiếm để nâng cao hiệu quả công việc, rút ngắn thời gian tìm kiếm, phục vụ công việc, kiểm kê, nhanh chóng, chính xác, an toàn nên tôi đã xây dựng ý tưởng này.",spk_11_0002,male,11_0003.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0003.wav,downloaded,861516
train:11_0004.wav,train,North,Northern,11,CaoBang,11_0004.wav,"Ý tưởng đầu tiên tôi phải nhắc đến là vấn đề về chi phí xây dựng phần mềm bitcode theo truyền thống mà tập trung vào những phần mềm nền tảng no-code sẽ rút ngắn được thời gian triển khai phần mềm. Đồng thời, ứng dụng AppSheet này hỗ trợ miễn phí những chức năng cần thiết cho người dùng và cả người tạo.",spk_11_0002,male,11_0004.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0004.wav,downloaded,720204
train:11_0005.wav,train,North,Northern,11,CaoBang,11_0005.wav,giúp giải quyết đa dạng các nội dung trong quản lý ISO của doanh nghiệp phù hợp với xu hướng chuyển đổi số hiện nay. Về tính thực tiễn thì ý tưởng của tôi đầu tiên đưa vào sử dụng tại khối văn phòng công ty đạt hiệu quả cao và đang được ứng dụng quản lý tài sản trong toàn công ty điện lực cao bằng.,spk_11_0002,male,11_0005.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0005.wav,downloaded,718700
train:11_0006.wav,train,North,Northern,11,CaoBang,11_0006.wav,"Em rất là tự hào vì năm đầu tiên em được tham gia Lấy Rương Nước. Qua Lấy Rương Nước là em rất tự hào về giá trị của truyền thống, văn hóa, địa phương.",spk_11_0003,female,11_0006.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0006.wav,downloaded,485794
train:11_0007.wav,train,North,Northern,11,CaoBang,11_0007.wav,"Em cảm thấy rất là tự hào và qua cái lễ hội, lễ rước nước này đã giúp cho mọi người cầu một cái mùa màng bội thu. Qua lễ rước nước này em hiểu về những cái giá trị về dân tộc ạ, văn hóa dân tộc ạ. Em cảm thấy lễ nước nước rất là ý nghĩa. Là một tín ngưỡng rất thiêng liêng ạ!",spk_11_0004,female,11_0007.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0007.wav,downloaded,977248
train:11_0008.wav,train,North,Northern,11,CaoBang,11_0008.wav,Năm nay thì Cao Trương tôi thì cũng chuẩn bị những cái đặc sản của địa phương như miến rong này xong gạo nếp thơm với lại cả những cái trang phục truyền thống của quê hương tôi thì đến đây cũng mong muốn là quảng bá sản phẩm quê hương tôi đến với lại cả các anh em thứ nhất là trong huyện với lại cả toàn tỉnh thì các sản phẩm được vươn xa hơn để nhiều du khách biết đến,spk_11_0005,male,11_0008.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0008.wav,downloaded,952404
train:11_0009.wav,train,North,Northern,11,CaoBang,11_0009.wav,Em thưa chị là em cảm thấy rất là vinh dự và tự hào khi đứng trong một nghìn người hát then. Và em thông qua cái chương trình này thì em cảm thấy em yêu làn điệu then của cao bằng mình hơn. Bản thân em thì trong suốt quá trình mà tập luyện í thì em đã cố gắng để tập luyện để đánh được các làn điệu then của cao bằng mình ạ.,spk_11_0006,female,11_0009.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0009.wav,downloaded,955622
train:11_0010.wav,train,North,Northern,11,CaoBang,11_0010.wav,"Qua thực tế, thì cán bộ công nhân viên từ kỹ thuật đến kinh doanh ấy chưa nắm được hết tất cả vùng phủ sóng di động trên cả tỉnh. Từ khó khăn đấy, mình cũng đưa ra cái đề án này thì để cho từ lãnh đạo đến cán bộ công nhân viên từ kỹ thuật đến kinh doanh nắm được vùng phủ sóng di động và từ đấy đưa ra các phương án phù hợp",spk_11_0007,male,11_0010.wav,train-00000-of-00103.parquet,data/processed/audio_16k/train/Northern/11_0010.wav,downloaded,625372
