epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,1.089743,0.385589,1.051762,0.432099,0.362667,37.622
2,1.063234,0.426489,1.030619,0.490398,0.486897,35.762
3,1.048881,0.454272,1.016324,0.486968,0.486614,35.725
4,1.034489,0.462379,1.001690,0.505487,0.505500,35.622
5,1.020833,0.489889,0.989385,0.501372,0.501638,35.625
6,1.009094,0.496174,0.978946,0.526749,0.525882,35.633
7,1.001819,0.508380,0.972665,0.541838,0.541675,35.750
8,0.994702,0.511113,0.969449,0.527435,0.525430,35.796
9,0.990240,0.519038,0.961411,0.543210,0.543232,35.727
10,0.977931,0.527874,0.955253,0.548697,0.540919,35.732
11,0.967338,0.535708,0.952599,0.548697,0.545668,35.645
12,0.967173,0.535070,0.947158,0.554870,0.547082,35.725
13,0.963026,0.539534,0.924345,0.567215,0.565687,35.341
14,0.954705,0.547185,0.942556,0.545267,0.533270,35.570
15,0.949379,0.545637,0.929823,0.569273,0.564711,35.627
16,0.944530,0.549554,0.958550,0.512346,0.479469,35.665
17,0.942899,0.552651,0.921029,0.576818,0.570571,35.603
18,0.939837,0.549463,1.066355,0.464335,0.403156,35.620
19,0.934858,0.554837,0.935987,0.545953,0.529253,35.880
20,0.927513,0.561760,0.900626,0.590535,0.583261,36.304
21,0.919652,0.569685,0.887538,0.609053,0.605162,35.705
22,0.928266,0.566861,0.937037,0.564472,0.555545,35.792
23,0.920068,0.568592,0.887415,0.609739,0.601544,35.474
24,0.913415,0.571051,0.908153,0.579561,0.570600,35.680
25,0.905833,0.580069,0.987524,0.517833,0.476929,35.546
26,0.902179,0.579523,0.905084,0.583676,0.566618,35.624
27,0.900019,0.581436,0.899933,0.578189,0.573534,37.424
28,0.901298,0.582073,0.897773,0.576132,0.564221,35.844
29,0.899829,0.584351,0.969127,0.516461,0.483256,36.013
30,0.899000,0.582893,0.880549,0.600137,0.595936,36.151
