epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,1.053282,0.446894,0.980058,0.509602,0.506809,60.648
2,0.980433,0.521680,0.918564,0.564472,0.561986,58.736
3,0.941562,0.556932,0.889706,0.578189,0.576850,58.816
4,0.907858,0.575970,0.858380,0.597394,0.584292,58.834
5,0.881537,0.591273,0.816861,0.634431,0.626226,58.932
6,0.860746,0.604937,0.788332,0.635117,0.630703,58.804
7,0.829929,0.620149,0.818729,0.644719,0.628979,58.743
8,0.814566,0.642740,0.783931,0.631001,0.626353,59.207
9,0.801907,0.646019,0.772098,0.646776,0.638067,58.946
10,0.781824,0.652942,0.748716,0.657750,0.657720,58.375
11,0.773393,0.656495,0.752165,0.663237,0.647154,58.448
12,0.760678,0.670705,0.738264,0.661180,0.650425,57.754
13,0.746654,0.676808,0.738626,0.652949,0.646673,57.217
14,0.733755,0.683367,0.727540,0.667353,0.660159,57.248
15,0.734944,0.675442,0.760988,0.650892,0.636344,57.210
16,0.714866,0.693842,0.719830,0.670782,0.662929,57.175
17,0.707835,0.697486,0.777081,0.646091,0.637191,57.164
18,0.696592,0.703407,0.710355,0.664609,0.659250,57.077
19,0.682287,0.712334,0.724418,0.678326,0.671928,55.654
20,0.671570,0.713973,0.762274,0.646776,0.645241,55.802
