epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,1.034150,0.466296,0.920955,0.562414,0.557475,105.008
2,0.935857,0.555657,0.857262,0.603567,0.594018,100.009
3,0.881267,0.598105,0.814428,0.615226,0.613502,99.731
4,0.833634,0.626890,0.777965,0.667353,0.656865,97.138
5,0.802115,0.647932,0.770025,0.654321,0.641700,97.984
6,0.783500,0.656950,0.713435,0.674897,0.670956,100.848
7,0.752856,0.670705,0.738070,0.670096,0.656271,101.461
8,0.731440,0.687648,0.696039,0.695473,0.687886,101.120
9,0.716031,0.691838,0.758582,0.672840,0.661556,102.091
10,0.691429,0.702314,0.669319,0.694787,0.694350,103.193
11,0.672981,0.718528,0.752660,0.694787,0.677453,103.023
12,0.652973,0.728093,0.675659,0.718793,0.712714,103.357
13,0.626238,0.738568,0.701760,0.703704,0.696824,104.439
14,0.601718,0.749499,0.684795,0.699588,0.698037,102.981
15,0.602838,0.754782,0.751000,0.689300,0.683250,102.655
16,0.574355,0.765349,0.770128,0.680384,0.676417,103.281
17,0.558805,0.776280,0.734265,0.689300,0.687320,101.711
