epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,1.025664,0.483421,0.933241,0.542524,0.536719,120.597
2,0.941591,0.546001,0.903711,0.552812,0.542796,118.173
3,0.887877,0.586172,0.923319,0.583676,0.566174,111.953
4,0.827108,0.624066,0.836522,0.623457,0.611016,111.278
5,0.766953,0.658590,0.802156,0.637174,0.628559,110.597
6,0.704990,0.690016,0.823037,0.632373,0.624296,113.733
7,0.630374,0.729003,0.935665,0.606996,0.598007,113.877
8,0.553929,0.766715,1.077641,0.563100,0.553501,111.890
9,0.479071,0.801148,1.032214,0.623457,0.619259,112.916
10,0.416554,0.828020,1.248408,0.600137,0.591666,112.265
