epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,0.786028,0.663782,0.609408,0.757202,0.754698,867.233
2,0.569622,0.776280,0.553229,0.768861,0.764679,885.491
3,0.533506,0.790217,0.581980,0.755830,0.749627,887.600
4,0.510701,0.798142,0.513365,0.786008,0.785473,871.665
5,0.498160,0.804063,0.515872,0.794925,0.789811,877.948
6,0.488456,0.808162,0.494805,0.796982,0.794147,890.121
7,0.482678,0.809346,0.528284,0.791495,0.783452,849.259
8,0.475132,0.812079,0.478653,0.796982,0.796539,856.172
9,0.469129,0.817909,0.513196,0.802469,0.793497,848.088
10,0.463451,0.821188,0.482884,0.813443,0.806900,837.793
11,0.460065,0.823374,0.465034,0.813443,0.811701,842.693
12,0.454365,0.824012,0.485538,0.784636,0.786386,842.142
13,0.451325,0.825742,0.480599,0.810700,0.806837,840.581
14,0.446150,0.827564,0.504311,0.810014,0.800811,839.719
15,0.445659,0.827109,0.459658,0.816872,0.812725,837.534
16,0.444109,0.826289,0.463650,0.816872,0.815422,843.030
17,0.438081,0.833121,0.460288,0.818930,0.815157,841.993
18,0.438979,0.827655,0.456419,0.812071,0.812292,842.928
19,0.436622,0.831937,0.444086,0.824417,0.822854,839.322
20,0.434383,0.832483,0.458212,0.815501,0.810473,841.788
