epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_central_recall,valid_central_f1,epoch_seconds
1,0.432683,0.848242,0.602812,0.776406,0.770227,0.585216,0.668230,1012.933
2,0.333771,0.880944,0.567180,0.784636,0.780916,0.624230,0.680851,1008.255
3,0.311172,0.887593,0.550922,0.798354,0.793383,0.620123,0.694253,1005.394
4,0.301652,0.889688,0.534828,0.794925,0.793048,0.667351,0.710383,1005.310
5,0.289304,0.893605,0.507538,0.807956,0.805594,0.675565,0.723077,1008.819
6,0.287544,0.895063,0.538547,0.805213,0.801000,0.652977,0.708241,1003.296
7,0.282006,0.895336,0.489076,0.818244,0.814953,0.679671,0.730684,1006.551
8,0.276738,0.898342,0.530381,0.808642,0.804822,0.650924,0.719637,1006.422
9,0.277036,0.898615,0.521144,0.807956,0.804689,0.657084,0.719910,1004.051
10,0.270892,0.899071,0.507140,0.816872,0.811775,0.642710,0.721198,1003.968
11,0.268908,0.900893,0.472440,0.823731,0.819241,0.657084,0.735632,1005.521
12,0.269161,0.902623,0.577283,0.786694,0.783388,0.630390,0.690664,1004.094
13,0.265494,0.901713,0.550651,0.813443,0.809688,0.665298,0.726457,1008.422
14,0.265482,0.901895,0.564865,0.802469,0.800187,0.671458,0.717105,1006.754
15,0.263064,0.902350,0.592074,0.805213,0.800587,0.632444,0.711316,1005.820
16,0.262207,0.904172,0.503022,0.796982,0.797133,0.728953,0.720812,1005.705
17,0.265333,0.904263,0.527011,0.812071,0.807502,0.642710,0.717068,1003.961
18,0.267455,0.901348,0.523735,0.800412,0.798356,0.694045,0.721451,1007.547
19,0.273551,0.898524,0.513998,0.792181,0.791051,0.683778,0.710021,1004.848
20,0.283516,0.894334,0.554726,0.789438,0.786464,0.648871,0.698343,1004.853
