epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_central_recall,valid_central_f1,valid_best_score,valid_gate_mean,epoch_seconds
1,0.298040,0.887593,0.422846,0.830590,0.828696,0.710472,0.752992,0.805985,0.478230,1023.656
2,0.285186,0.894334,0.410798,0.836077,0.832421,0.679671,0.751419,0.808120,0.452977,1032.962
3,0.279327,0.895518,0.419085,0.835391,0.832614,0.698152,0.756396,0.809749,0.437008,1075.346
4,0.267558,0.897796,0.422222,0.839506,0.835926,0.689938,0.756757,0.812175,0.422713,1060.590
5,0.262172,0.903352,0.424105,0.842250,0.839549,0.712526,0.766851,0.817739,0.417844,1060.696
6,0.263713,0.901257,0.433188,0.836077,0.833703,0.712526,0.756816,0.810637,0.405683,1043.203
7,0.255452,0.902623,0.398595,0.837449,0.834195,0.691992,0.753073,0.809858,0.385129,1024.098
8,0.253176,0.905629,0.426130,0.834019,0.830229,0.675565,0.747727,0.805478,0.379304,1022.603
9,0.249763,0.907907,0.435931,0.826475,0.823951,0.687885,0.740331,0.798865,0.369753,1023.762
10,0.242863,0.910366,0.422218,0.837449,0.834718,0.708419,0.759076,0.812026,0.361389,1020.371
11,0.244174,0.908635,0.418860,0.831276,0.828000,0.681725,0.746067,0.803421,0.351811,1017.830
12,0.241654,0.909820,0.444769,0.827846,0.825040,0.687885,0.746102,0.801359,0.359043,1022.365
13,0.239810,0.911824,0.433766,0.832647,0.830914,0.722793,0.755365,0.808249,0.351028,1021.952
14,0.236012,0.911368,0.428104,0.829218,0.827166,0.706366,0.751092,0.804344,0.343461,1022.269
15,0.240028,0.912917,0.471236,0.824417,0.822269,0.700205,0.745355,0.799195,0.353328,1021.815
