epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,epoch_seconds
1,0.893291,0.593333,1.030039,0.355556,0.325034,24.336
2,0.355752,0.883333,2.035536,0.511111,0.410621,24.715
3,0.247294,0.896667,1.739512,0.533333,0.456081,23.577
4,0.207490,0.930000,2.575213,0.555556,0.477339,23.990
5,0.211386,0.933333,1.700814,0.600000,0.555556,23.107
6,0.157409,0.940000,3.357411,0.533333,0.456081,23.276
7,0.172893,0.950000,1.657177,0.622222,0.579561,23.196
8,0.177924,0.940000,1.078861,0.688889,0.672014,23.038
9,0.211134,0.913333,2.561707,0.600000,0.539584,22.934
10,0.122473,0.953333,2.626670,0.644444,0.581462,23.289
11,0.118013,0.933333,1.884610,0.666667,0.619270,23.163
12,0.119954,0.950000,2.134530,0.666667,0.623568,22.897
13,0.127918,0.940000,2.188349,0.600000,0.555556,22.843
